Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
42776,326,644000,3533195,412000,285282,1400000,86.3,128892619,752,44218,53368,2290,51,0,0,0,0,0,1,1,1,0,ゆな,【2021年初】ゆながファンのみなさんからの質問に答えます！【質問コーナー】,https://www.youtube.com/watch?v=0NOKz35HVv8
42126,591,525000,2278552,81000,65931,14800,106.3,146619630,699,44080,403459,6900,163,491,0,0,0,0,1,1,1,0,コスメオタちゃんねるサラ,ドンキホーテで売られている謎の激安コスメ買ってみたんだが...,https://www.youtube.com/watch?v=J8lu97c6QGA
42723,275,190000,1458010,113000,81537,201300,70.1,26870365,769,43944,976489,16000,265,775,3,1,0,0,1,1,1,0,こなん,じゅっくんにNGなしで100質してみたらヤバすぎた,https://www.youtube.com/watch?v=9WYZgOO8_hE&t=240s
43453,511,618000,3779298,90000,99034,289400,263.4,394525587,1005,44181,941749,21000,293,1260,3,0,1,0,1,2,9,0,フォーエイト,【ドッキリ】もしもメンバーが危ない薬を飲んでいたらメンバーはどうする！？,https://www.youtube.com/watch?v=scOTLVba9Ow
41472,473,878000,29251578,552000,963507,962200,64.2,271650969,740,43963,576993,10000,367,1623,0,0,1,0,0,0,1,0,じんだハウス,【激辛】激辛プルダックポックンミョンなんてもう一生食べない。【大食い】,https://www.youtube.com/watch?v=Tw5hb78j-O4
43929,33,219000,1294196,238000,10000,5000,53.5,6783339,486,44211,70928,868,12,79,3,0,0,0,1,0,1,1,馬場ごはん,夜中に見ちゃダメ♪ハンバーググラタン〈市販の惣菜で火も使わずズボラ飯〉,https://www.youtube.com/watch?v=dF2-KvRB1uc
43294,496,998000,2633436,165000,83165,643900,210.5,212071615,645,43894,1938580,34000,484,2116,0,0,0,0,1,0,1,0,カノックスタ,かのを狙ってる人と韓国の激辛麺食べてみた【モッパン】,https://www.youtube.com/watch?v=iGkAd9k-BkY
42386,475,810000,5550776,765000,682776,58200,98,207593843,731,43702,1882423,29000,656,1434,1,0,1,0,1,1,1,1,吉田あかり,【握手会の朝】初公開！アイドルの握手会の準備は全部セルフなんです！【The Morning of a Meet and Greet】,https://www.youtube.com/watch?v=uYwyn8J2-IQ&t=103s
43560,158,460000,1714486,5000,10000,20300,97,57458488,466,43658,1044655,30000,1163,2462,0,0,1,0,1,0,2,0,ヘキトラ,友達の家に大好きな人の特大ポスターを貼ってみた【ドッキリ】,https://www.youtube.com/watch?v=771r5YnkzU0
43120,453,679000,2437141,5000,74496,5000,159.9,207876561,840,44221,256548,6722,65,508,3,0,0,0,1,1,3,0,クレイジーマグネット,【超巨大】10000kcal超えの20段ハンバーガー作ってみた！,https://www.youtube.com/watch?v=pia3SzhVS7Y
